cutscene_id,frame,item_sprite,item_use_fade,item_fade_delay,item_fade_in,item_fade_out
03_ItemCutScene,1,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_14],FALSE,0,0,0
03_ItemCutScene,2,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_14],FALSE,0,0,0
03_ItemCutScene,3,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_12],FALSE,0,0,0
03_ItemCutScene,4,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_12],FALSE,0,0,0
03_ItemCutScene,5,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_11],FALSE,0,0,0
03_ItemCutScene,6,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_11],FALSE,0,0,0
03_ItemCutScene,7,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_10],FALSE,0,0,0
03_ItemCutScene,8,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_13],FALSE,0,0,0
03_ItemCutScene,9,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_13],FALSE,0,0,0
03_Stage3_CutScene,0,,,,,
03_Stage3_CutScene,1,,,,,
03_Stage3_CutScene,2,,,,,
03_Stage3_CutScene,3,,,,,
03_Stage3_CutScene,4,,,,,
03_Stage3_CutScene,5,,,,,
03_Stage3_CutScene,6,,,,,
04_ItemCutScene,0,,,,,
04_ItemCutScene,1,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_19],FALSE,0,0,0
04_ItemCutScene,2,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_16],FALSE,0,0,0
04_ItemCutScene,3,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_16],FALSE,0,0,0
04_ItemCutScene,4,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_18],FALSE,0,0,0
04_ItemCutScene,5,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_15],FALSE,0,0,0
04_ItemCutScene,6,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_15],FALSE,0,0,0
04_ItemCutScene,7,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_17],FALSE,0,0,0
04_ItemCutScene,8,Assets/Resources/Items/Sprites/Img_Item_Atlas_Present.png[Img_Item_Atlas_Present_17],FALSE,0,0,0
04_Stage4_CutScene,0,,,,,
04_Stage4_CutScene,1,,,,,
04_Stage4_CutScene,2,,,,,
04_Stage4_CutScene,3,,,,,
04_Stage4_CutScene,4,,,,,
04_Stage4_CutScene,5,,,,,
04_Stage4_CutScene,6,,,,,
04_Stage4_CutScene,7,,,,,
04_Stage4_CutScene,8,,,,,
